idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
82 wlan0 0x0 10554 0 30940 86 12761 127 30940 86 0 0 0 0 12761 127 0 0 0 0
83 wlan0 0x0 10554 1 2946804 2745 290520 2464 2946804 2745 0 0 0 0 290520 2464 0 0 0 0
84 wlan0 0x0 10570 0 4515 8 2049 12 4515 8 0 0 0 0 2049 12 0 0 0 0
85 wlan0 0x0 10570 1 25832 43 9564 57 25832 43 0 0 0 0 9564 57 0 0 0 0
86 wlan0 0x0 10575 0 13116334 19988 3283802 31315 13116334 19988 0 0 0 0 3283802 31315 0 0 0 0
87 wlan0 0x0 10575 1 63326828 57416 5055770 43798 63326828 57416 0 0 0 0 5055770 43798 0 0 0 0
88 wlan0 0x0 10576 0 371648 595 188765 904 371648 595 0 0 0 0 188765 904 0 0 0 0
89 wlan0 0x0 10576 1 8735226 9030 1101108 8394 8735226 9030 0 0 0 0 1101108 8394 0 0 0 0
90 wlan0 0x0 10582 0 180071156 402249 123350617 836796 180071156 402249 0 0 0 0 123350617 836796 0 0 0 0
91 wlan0 0x0 10582 1 496362 1027 261722 1332 496362 1027 0 0 0 0 261722 1332 0 0 0 0
92 wlan0 0x0 10585 0 119123 301 51168 506 119123 301 0 0 0 0 51168 506 0 0 0 0
93 wlan0 0x0 10585 1 4709259 7746 1558316 9157 4709259 7746 0 0 0 0 1558316 9157 0 0 0 0
94 wlan0 0x0 10587 0 47009745 106886 20039559 159752 47009745 106886 0 0 0 0 20039559 159752 0 0 0 0
95 wlan0 0x0 10587 1 5946562 6590 424537 4549 5946562 6590 0 0 0 0 424537 4549 0 0 0 0
96 wlan0 0x0 10588 0 307098 824 259626 1463 307098 824 0 0 0 0 259626 1463 0 0 0 0
97 wlan0 0x0 10588 1 15539092 21005 3382348 21560 15539092 21005 0 0 0 0 3382348 21560 0 0 0 0
98 wlan0 0x0 10592 0 3315402 6004 1576313 10011 3315250 6002 152 2 0 0 1576161 10009 152 2 0 0
99 wlan0 0x0 10592 1 1874021 1865 407587 1726 1874021 1865 0 0 0 0 407587 1726 0 0 0 0
100 wlan0 0x0 10593 0 0 0 315 5 0 0 0 0 0 0 315 5 0 0 0 0
101 wlan0 0x0 10593 1 1030743 945 148206 905 1030743 945 0 0 0 0 148206 905 0 0 0 0
102 wlan0 0x0 10607 0 229778 1699 516598 4940 229778 1699 0 0 0 0 516598 4940 0 0 0 0
103 wlan0 0x0 10607 1 2332844 3245 652970 3654 2302856 3203 29988 42 0 0 620942 3609 32028 45 0 0
104 wlan0 0x0 10610 0 589800 1086 287486 1950 589800 1086 0 0 0 0 287486 1950 0 0 0 0
105 wlan0 0x0 10610 1 8059988 11188 1570021 11734 8059988 11188 0 0 0 0 1570021 11734 0 0 0 0
106 wlan0 0x0 10611 0 13308825 10768 1011349 12823 13308825 10768 0 0 0 0 1011349 12823 0 0 0 0
107 wlan0 0x0 10611 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108 wlan0 0x0 10612 0 64358 149 49542 247 64358 149 0 0 0 0 49542 247 0 0 0 0
109 wlan0 0x0 10612 1 3274395 3802 764855 3700 3274395 3802 0 0 0 0 764855 3700 0 0 0 0
110 wlan0 0x60000000000 1000 0 3862 32 3534 26 3862 32 0 0 0 0 3534 26 0 0 0 0
111 wlan0 0x60000000000 1000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112 wlan0 0x60000000000 10036 0 5841852 17759 3022155 25356 5841852 17759 0 0 0 0 3022155 25356 0 0 0 0
113 wlan0 0x60000000000 10036 1 19553 50 8394 62 19553 50 0 0 0 0 8394 62 0 0 0 0
114 wlan0 0x60000000000 10089 0 31091 39 3738 38 31091 39 0 0 0 0 3738 38 0 0 0 0
115 wlan0 0x60000000000 10089 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116 wlan0 0x60000000000 10575 0 425852 888 114251 922 425852 888 0 0 0 0 114251 922 0 0 0 0
117 wlan0 0x60000000000 10575 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
118 wlan0 0x60000000000 10576 0 175 3 187 3 175 3 0 0 0 0 187 3 0 0 0 0
119 wlan0 0x60000000000 10576 1 12986 24 4728 31 12986 24 0 0 0 0 4728 31 0 0 0 0
120 wlan0 0x60000000000 10582 0 293096 691 85875 693 293096 691 0 0 0 0 85875 693 0 0 0 0
121 wlan0 0x60000000000 10582 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
122 wlan0 0x1000000000000000 10036 0 81936 115 21077 237 81936 115 0 0 0 0 21077 237 0 0 0 0
123 wlan0 0x1000000000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
124 wlan0 0x1000000000000000 10128 0 427215 973 195583 1014 427215 973 0 0 0 0 195583 1014 0 0 0 0
